iter	Passed	Remaining
0	164	164527
1	191	95806
2	198	66131
3	204	50975
4	210	41916
5	217	35976
6	223	31689
7	229	28404
8	235	25886
9	241	23893
10	246	22187
11	251	20732
12	256	19481
13	260	18374
14	268	17659
15	275	16973
16	283	16378
17	289	15766
18	293	15170
19	302	14818
20	309	14418
21	315	14040
22	323	13737
23	329	13395
24	337	13147
25	344	12917
26	354	12758
27	362	12571
28	368	12342
29	375	12150
30	381	11930
31	387	11725
32	396	11608
33	404	11479
34	411	11357
35	420	11254
36	429	11184
37	438	11093
38	446	10993
39	454	10900
40	462	10807
41	470	10730
42	478	10644
43	484	10529
44	491	10423
45	496	10302
46	505	10241
47	512	10168
48	519	10089
49	528	10046
50	537	10007
51	546	9965
52	555	9932
53	562	9849
54	570	9808
55	578	9750
56	587	9726
57	597	9698
58	606	9670
59	615	9639
60	623	9604
61	632	9570
62	640	9523
63	648	9488
64	657	9458
65	666	9425
66	674	9394
67	683	9365
68	692	9344
69	701	9317
70	710	9294
71	719	9272
72	727	9242
73	736	9220
74	744	9182
75	751	9136
76	758	9095
77	767	9073
78	776	9050
79	785	9030
80	794	9011
81	802	8988
82	811	8966
83	820	8942
84	828	8918
85	838	8906
86	848	8901
87	858	8892
88	869	8898
89	877	8873
90	884	8830
91	890	8786
92	895	8735
93	900	8677
94	904	8620
95	911	8581
96	917	8538
97	923	8502
98	928	8448
99	932	8395
100	938	8350
101	942	8299
102	947	8249
103	952	8208
104	957	8161
105	962	8116
106	967	8071
107	972	8034
108	980	8018
109	988	7995
110	994	7964
111	1000	7930
112	1005	7895
113	1010	7854
114	1015	7814
115	1020	7773
116	1024	7732
117	1029	7692
118	1034	7656
119	1038	7618
120	1045	7593
121	1054	7588
122	1060	7558
123	1065	7524
124	1070	7494
125	1075	7459
126	1080	7427
127	1090	7427
128	1099	7421
129	1106	7403
130	1110	7366
131	1115	7337
132	1120	7306
133	1129	7302
134	1139	7299
135	1148	7295
136	1157	7290
137	1165	7278
138	1172	7261
139	1178	7237
140	1186	7228
141	1195	7222
142	1203	7209
143	1210	7194
144	1216	7175
145	1223	7156
146	1229	7135
147	1235	7114
148	1242	7098
149	1250	7087
150	1258	7074
151	1266	7065
152	1272	7042
153	1276	7014
154	1281	6985
155	1288	6969
156	1293	6947
157	1299	6923
158	1304	6900
159	1309	6876
160	1318	6872
161	1326	6862
162	1337	6867
163	1345	6860
164	1352	6845
165	1358	6825
166	1364	6808
167	1369	6783
168	1380	6786
169	1387	6773
170	1395	6767
171	1401	6745
172	1408	6732
173	1417	6729
174	1426	6727
175	1434	6718
176	1443	6711
177	1449	6691
178	1454	6669
179	1460	6651
180	1464	6628
181	1474	6627
182	1482	6620
183	1492	6620
184	1499	6607
185	1506	6591
186	1514	6584
187	1523	6580
188	1532	6574
189	1540	6568
190	1550	6566
191	1557	6554
192	1565	6543
193	1573	6537
194	1582	6534
195	1591	6526
196	1599	6521
197	1608	6515
198	1617	6510
199	1627	6508
200	1634	6496
201	1641	6483
202	1650	6479
203	1658	6472
204	1667	6466
205	1675	6458
206	1685	6456
207	1694	6451
208	1703	6445
209	1711	6438
210	1719	6430
211	1728	6423
212	1736	6415
213	1744	6408
214	1753	6401
215	1762	6398
216	1771	6393
217	1780	6386
218	1789	6381
219	1798	6376
220	1807	6370
221	1820	6381
222	1830	6376
223	1835	6359
224	1841	6343
225	1850	6339
226	1860	6334
227	1870	6332
228	1880	6330
229	1887	6319
230	1894	6307
231	1899	6289
232	1904	6269
233	1909	6249
234	1916	6240
235	1926	6238
236	1937	6236
237	1946	6233
238	1954	6223
239	1962	6216
240	1972	6211
241	1982	6209
242	1992	6206
243	2003	6207
244	2014	6208
245	2021	6197
246	2028	6184
247	2037	6178
248	2047	6176
249	2058	6176
250	2069	6174
251	2079	6171
252	2089	6169
253	2099	6166
254	2109	6162
255	2118	6156
256	2128	6154
257	2139	6151
258	2149	6148
259	2159	6146
260	2169	6142
261	2179	6138
262	2189	6136
263	2197	6127
264	2205	6117
265	2215	6114
266	2225	6109
267	2234	6102
268	2242	6094
269	2250	6084
270	2259	6077
271	2269	6073
272	2279	6069
273	2288	6064
274	2299	6062
275	2310	6061
276	2322	6062
277	2333	6061
278	2345	6060
279	2356	6060
280	2367	6057
281	2377	6054
282	2385	6044
283	2393	6033
284	2403	6029
285	2412	6023
286	2422	6018
287	2431	6011
288	2442	6008
289	2452	6004
290	2463	6001
291	2474	5999
292	2484	5995
293	2492	5986
294	2501	5977
295	2509	5969
296	2520	5966
297	2529	5958
298	2540	5955
299	2551	5952
300	2561	5949
301	2571	5943
302	2578	5931
303	2585	5919
304	2595	5913
305	2605	5909
306	2617	5907
307	2627	5902
308	2636	5896
309	2648	5894
310	2658	5889
311	2668	5885
312	2676	5874
313	2684	5865
314	2692	5855
315	2703	5850
316	2713	5845
317	2722	5839
318	2732	5834
319	2742	5828
320	2751	5819
321	2765	5823
322	2771	5808
323	2776	5792
324	2784	5784
325	2795	5779
326	2805	5774
327	2815	5768
328	2825	5762
329	2833	5753
330	2842	5745
331	2851	5736
332	2859	5728
333	2870	5722
334	2879	5716
335	2890	5711
336	2900	5705
337	2910	5700
338	2920	5694
339	2929	5686
340	2938	5678
341	2948	5672
342	2959	5667
343	2966	5657
344	2975	5649
345	2981	5635
346	2990	5627
347	3001	5623
348	3011	5618
349	3021	5612
350	3032	5606
351	3042	5600
352	3051	5593
353	3062	5589
354	3072	5581
355	3081	5574
356	3091	5569
357	3102	5562
358	3111	5556
359	3122	5550
360	3132	5544
361	3142	5538
362	3152	5531
363	3159	5520
364	3166	5509
365	3176	5502
366	3186	5496
367	3196	5489
368	3206	5483
369	3216	5477
370	3226	5470
371	3236	5463
372	3247	5458
373	3257	5452
374	3268	5447
375	3278	5441
376	3288	5434
377	3298	5427
378	3306	5418
379	3313	5405
380	3319	5392
381	3324	5378
382	3329	5363
383	3335	5350
384	3339	5335
385	3344	5320
386	3353	5312
387	3362	5303
388	3370	5294
389	3379	5285
390	3387	5276
391	3395	5266
392	3404	5257
393	3412	5248
394	3421	5240
395	3429	5231
396	3438	5222
397	3447	5214
398	3455	5205
399	3464	5196
400	3473	5188
401	3483	5181
402	3493	5175
403	3503	5168
404	3513	5162
405	3522	5154
406	3529	5142
407	3538	5133
408	3546	5124
409	3555	5116
410	3564	5107
411	3572	5099
412	3580	5089
413	3590	5082
414	3599	5073
415	3607	5065
416	3616	5055
417	3624	5046
418	3633	5038
419	3642	5029
420	3650	5020
421	3659	5011
422	3668	5003
423	3676	4995
424	3685	4986
425	3695	4979
426	3704	4970
427	3712	4961
428	3718	4948
429	3724	4937
430	3730	4925
431	3739	4917
432	3748	4908
433	3756	4898
434	3765	4890
435	3772	4880
436	3781	4872
437	3790	4863
438	3799	4855
439	3808	4847
440	3817	4838
441	3826	4830
442	3835	4822
443	3844	4813
444	3852	4805
445	3861	4796
446	3870	4788
447	3878	4778
448	3886	4769
449	3892	4757
450	3897	4744
451	3905	4734
452	3913	4726
453	3922	4717
454	3931	4709
455	3939	4699
456	3947	4690
457	3956	4682
458	3966	4674
459	3974	4665
460	3983	4657
461	3991	4648
462	3999	4639
463	4008	4630
464	4017	4622
465	4026	4613
466	4034	4604
467	4043	4595
468	4051	4587
469	4060	4579
470	4069	4570
471	4075	4558
472	4080	4546
473	4086	4535
474	4095	4526
475	4104	4518
476	4113	4510
477	4122	4501
478	4130	4492
479	4138	4483
480	4147	4475
